lgn,t2_lgn,cnt
JavaScript,CSS,716441
JavaScript,HTML,602955
HTML,CSS,589971
Shell,JavaScript,221484
Shell,Python,217501
C++,C,197701
Shell,CSS,194517
PHP,JavaScript,192343
PHP,CSS,191335
Shell,HTML,189836
Shell,C,170358
Shell,C++,146040
Shell,Makefile,145312
Ruby,JavaScript,136263
Python,JavaScript,132693
Ruby,CSS,129201
Python,HTML,127664
Makefile,C,126057
PHP,HTML,124261
Ruby,HTML,120771
Python,CSS,118887
Shell,Ruby,118640
Python,C,111397
Makefile,C++,107216
Python,Makefile,107067
Python,C++,103856
Objective-C,C,97205
Shell,Java,87030
Objective-C,C++,86243
Shell,Perl,83920
Shell,Objective-C,83754
Shell,PHP,82231
Java,HTML,80680
JavaScript,Java,77472
Java,CSS,76393
Makefile,HTML,75549
PHP,ApacheConf,74226
CSS,ApacheConf,73574
Makefile,JavaScript,69881
JavaScript,ApacheConf,69756
HTML,ApacheConf,68745
Shell,Batchfile,64914
Ruby,Objective-C,63542
Makefile,CSS,60581
Perl,C,59561
JavaScript,CoffeeScript,56649
Python,Perl,55030
Python,Objective-C,54476
Perl,C++,53775
JavaScript,C,52216
HTML,C,51469
CMake,C++,50841
JavaScript,C++,50690
HTML,Batchfile,50092
HTML,C++,48772
CoffeeScript,CSS,48728
C,Assembly,48471
CSS,Batchfile,47080
C++,Assembly,46045
CSS,C,45720
JavaScript,Batchfile,45655
Objective-C,Makefile,44264
CSS,C++,43326
Shell,Assembly,42895
Python,Java,42370
Perl,Makefile,41477
Perl,JavaScript,40334
CMake,C,38189
Perl,Objective-C,37703
Python,Batchfile,36616
Ruby,Python,36290
JavaScript,C#,35964
Java,C,35796
HTML,CoffeeScript,35617
Objective-C,Assembly,35104
Objective-C,JavaScript,34759
Java,C++,34631
Python,Assembly,34537
Ruby,C,33235
Perl,CSS,32646
C++,Batchfile,32242
C,Batchfile,32073
Makefile,Assembly,32013
Shell,CMake,31203
Perl,Assembly,31185
CSS,C#,30615
Makefile,Batchfile,30467
TypeScript,JavaScript,30369
Ruby,CoffeeScript,30161
Python,PHP,29916
Shell,Go,29044
Shell,Groff,29040
Java,Batchfile,28700
Makefile,Java,28609
Objective-C,HTML,28393
Ruby,PHP,28247
Shell,ApacheConf,27678
HTML,C#,26799
Perl,HTML,26261
Ruby,Makefile,25617
Objective-C,CSS,25274
Objective-C,Java,25132
XSLT,Shell,24996
Ruby,C++,24923
